,_id,lastSalesDate,lastSalesAmount,maxSalesAmount,TotalRecords
0,"{'STREET_NUMBER': '100', 'STREET': 'W 58th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-26T00:00:00.000Z,1300000.0,4950000.0,162
1,"{'STREET_NUMBER': '310', 'STREET': 'W 52nd St', 'PROPERTY_TYPE': 'STORAGE ROOM', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-19T00:00:00.000Z,3400000.0,4950000.0,217
2,"{'STREET_NUMBER': '310', 'STREET': 'W 52nd St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-19T00:00:00.000Z,3400000.0,4950000.0,247
3,"{'STREET_NUMBER': '322', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-19T00:00:00.000Z,1125000.0,53268315.93,737
4,"{'STREET_NUMBER': '345', 'STREET': 'W 55th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL COOP UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-19T00:00:00.000Z,720000.0,1270200.0,47
5,"{'STREET_NUMBER': '217', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-13T00:00:00.000Z,8170250.0,50021000.0,93
6,"{'STREET_NUMBER': '458', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL COOP UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-13T00:00:00.000Z,60251.0,60251.0,2
7,"{'STREET_NUMBER': '111', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-13T00:00:00.000Z,13600000.0,50518750.0,22
8,"{'STREET_NUMBER': '350', 'STREET': 'W 50th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-11T00:00:00.000Z,1360000.0,2350000.0,383
9,"{'STREET_NUMBER': '611', 'STREET': 'W 56th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-07T00:00:00.000Z,2050000.0,3080000.0,34
10,"{'STREET_NUMBER': '40', 'STREET': 'W 55th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-06T00:00:00.000Z,2100000.0,2250000.0,40
11,"{'STREET_NUMBER': '1335', 'STREET': 'Avenue of the Americas', 'PROPERTY_TYPE': 'COMMERCIAL CONDO UNIT(S)', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-07-05T00:00:00.000Z,27202.0,21600000.0,7
