name,rating,reviews,salaries,interviews,Jobs,Benefits
TCS,3.8,62.4k,870.7k,5.2k,45,25.5k
Accenture,4.1,39.8k,566.3k,3.5k,12.6k,18.2k
Cognizant,3.9,36.3k,572.2k,3.1k,454,14.9k
Wipro,3.8,30k,421.5k,3.1k,408,11.5k
ICICI Bank,4.0,29.5k,220.9k,1.6k,233,11.8k
HDFC Bank,3.9,29k,216.9k,1.3k,393,9.6k
Infosys,3.9,27.3k,492.7k,4.3k,986,11.5k
Capgemini,3.9,25.3k,375.2k,2.1k,615,9.6k
Tech Mahindra,3.7,23.8k,268.1k,2.1k,1.2k,9.5k
HCLTech,3.7,23k,277.2k,2.1k,656,8.8k
Genpact,4.0,22.9k,198.4k,1.7k,870,10.4k
Axis Bank,3.8,19.5k,166.5k,947,301,7k
Concentrix Corporation,3.9,18.6k,110.6k,889,210,9.2k
Amazon,4.2,17.7k,139.4k,2.9k,674,6.4k
IBM,4.1,17.6k,217.7k,1.3k,2.8k,7.4k
Reliance Jio,4.0,17.6k,98.5k,994,139,6.7k
Larsen & Toubro Limited,4.0,16.6k,99k,894,203,6.8k
HDB Financial Services,4.0,15.6k,81.4k,493,127,5.7k
Reliance Retail,3.9,15.4k,82.1k,977,242,4.5k
Teleperformance,3.6,14.6k,89.1k,965,273,6.1k
Vodafone Idea,4.2,14.3k,86.2k,382,389,6.5k
Deloitte,4.0,12.4k,152.7k,1.4k,291,5.1k
Kotak Mahindra Bank,3.8,12.3k,105.5k,619,78,4.3k
BYJU'S,3.2,12.3k,68.6k,1.6k,919,2.9k
Reliance Industries,4.0,11.5k,77.5k,792,71,4.8k
Bharti Airtel,4.0,10.7k,61.1k,480,272,4.5k
Tata Motors,4.2,9.9k,50.2k,635,19,4.7k
Flipkart,4.1,8.6k,55.9k,898,443,3.6k
Ernst & Young,3.7,8.6k,119.4k,773,1.7k,3.2k
WNS,3.6,8.4k,60.5k,623,244,4k
Mahindra & Mahindra,4.1,8k,44.2k,410,95,3.5k
IndusInd Bank,3.7,8k,67.7k,361,246,2.7k
DXC Technology,3.9,7.2k,83.7k,465,71,3.3k
Infosys BPM,3.9,7.2k,61.6k,597,29,3.4k
IDFC FIRST Bank,4.0,6.8k,52.9k,346,85,2.3k
Maruti Suzuki,4.2,6.6k,32.7k,396,328,2.9k
Conneqt Business Solutions,3.8,6.6k,28.8k,256,36,2.7k
iEnergizer,4.3,6.4k,20k,245,83,1.4k
Bajaj Finserv,4.0,6.4k,39.6k,297,54,2.3k
Hinduja Global Solutions,4.0,6.3k,30.1k,147,62,3.6k
HSBC Group,4.1,6.2k,59.9k,318,41,3.3k
Startek,3.2,6k,27.9k,264,24,2.7k
Mphasis,3.6,6k,63.5k,407,73,2.5k
LTIMindtree,3.9,5.9k,74.7k,764,35,1.8k
Ericsson,4.3,5.9k,47.6k,238,17,2.7k
PwC,3.7,5.8k,75k,666,598,2.1k
HDFC Life,4.1,5.6k,39.8k,302,78,2k
Yes Bank,3.9,5.5k,54.5k,256,27,1.9k
Dr. Reddy's,4.2,5.5k,25.7k,229,145,2.5k
Asian Paints,4.1,5.5k,27.9k,385,131,2.2k
Cipla Pharmaceutical,4.1,5.4k,28.9k,310,29,2.4k
Sutherland Global Services,3.8,5.3k,30.3k,302,185,2.7k
NTT DATA,4.0,5.1k,52.3k,367,162,2.2k
ICICI Prudential Life Insurance,4.1,5k,32.8k,242,195,2.2k
Jana Small Finance Bank,3.8,5k,22.6k,149,124,2k
EXL Service,3.8,5k,37k,373,535,2.4k
KPMG,3.7,5k,60.8k,506,1.1k,1.9k
HCL Group,3.8,4.9k,79.8k,243,1,2.3k
Udaan,4.0,4.9k,27.1k,271,299,2.1k
UltraTech Cement,4.2,4.9k,25.7k,285,12,1.8k
Lupin,4.1,4.9k,24.9k,218,17,2.3k
Paytm,3.5,4.8k,34.1k,359,513,1.7k
Bandhan Bank,3.8,4.8k,29.7k,299,16,1.4k
Bajaj Finance,4.1,4.7k,31.3k,189,88,1.8k
L&T Infotech,3.8,4.6k,74.3k,362,137,2.1k
ITC,3.9,4.6k,26k,343,72,1.8k
Indian Army,4.7,4.6k,14.1k,98,--,2.4k
AU Small Finance Bank,4.2,4.5k,22.6k,235,144,1.2k
JP Morgan Chase,4.2,4.4k,65.5k,355,1.1k,2.2k
FIS,4.0,4.4k,38.2k,269,66,2k
Hindustan Unilever,4.2,4.4k,27k,205,97,1.8k
Wells Fargo,4.2,4.4k,40.8k,262,174,2.2k
Delhivery,4.0,4.4k,21.8k,250,441,1.6k
IIFL Finance,3.8,4.3k,26.5k,189,189,1.5k
Amazon Development Centre India,4.2,4.2k,4.3k,285,23,2.4k
Quess,3.9,4.1k,26.5k,229,236,1.3k
Home Credit Finance,4.1,4.1k,14k,84,65,2k
TATA Steel,4.1,4.1k,22.3k,378,46,1.5k
Sun Pharmaceutical Industries,4.1,4k,23k,201,90,1.7k
Hexaware Technologies,3.7,4k,45k,328,320,1.6k
OPPO,3.9,4k,18.1k,147,18,1.8k
Ujjivan Small Finance Bank,4.1,4k,18.9k,131,70,1.7k
Shapoorji Pallonji Group,4.2,3.9k,16.7k,201,43,1.7k
JSW Steel,3.9,3.9k,25.3k,289,48,1.5k
Shriram Transport Finance,4.1,3.9k,16.8k,134,--,1.6k
Ashok Leyland,4.1,3.8k,21.8k,142,2,1.9k
Max Life Insurance,4.1,3.8k,24.1k,164,481,1.6k
Muthoot Finance,3.6,3.8k,18.9k,144,200,1.2k
Aurobindo Pharma,4.0,3.8k,23.2k,149,7,1.5k
Vivo,4.0,3.8k,18.4k,125,7,1.8k
Oracle,3.9,3.8k,53.1k,445,210,1.5k
Apollo Hospitals,4.1,3.8k,17.9k,168,41,1.6k
eClerx,3.5,3.8k,30k,267,55,1.7k
Siemens,4.2,3.8k,29.3k,220,1.2k,1.6k
Zydus Cadila,4.2,3.8k,15.8k,140,55,1.8k
Tata Projects,4.2,3.7k,22.2k,223,37,1.4k
Capgemini Technology Services India Limited,4.0,3.7k,47k,308,2,1.5k
JLL,4.2,3.7k,20.3k,169,37,1.5k
First Source,3.9,3.6k,21.5k,150,101,1.7k
Hero MotoCorp,4.2,3.6k,16.2k,215,7,1.5k
JustDial,3.6,3.6k,19.2k,199,108,1.3k
Hewlett-Packard Enterprise,4.3,3.5k,33.6k,154,55,1.8k
Bajaj Allianz Life Insurance,4.1,3.5k,21.7k,178,35,1.3k
Mahindra & Mahindra Financial Services,4.3,3.5k,15.2k,80,57,1.5k
Omega Healthcare,3.7,3.5k,21.7k,180,75,1.4k
Cyient,3.7,3.4k,26.7k,150,273,1.5k
Megha Engineering & Infrastructures,4.1,3.4k,18.3k,247,19,1.3k
L&T Construction,4.0,3.4k,16.1k,365,--,1.5k
Hyundai Motor,4.3,3.3k,15.3k,157,17,1.6k
D Mart,3.9,3.3k,15.9k,203,64,1.2k
Reliance Communications,3.9,3.3k,18.1k,62,2,1.3k
TVS Motor,4.0,3.3k,15.9k,176,25,1.5k
BigBasket,4.0,3.2k,16k,219,79,1.1k
Bosch,4.3,3.2k,20.3k,198,10,1.6k
Oyo Rooms,3.4,3.2k,30.7k,146,164,1.4k
Indiamart Intermesh,3.7,3.2k,20.5k,309,880,1.1k
Manappuram Finance,3.9,3.1k,11.7k,84,2,1k
Atos Syntel,3.6,3.1k,37.2k,157,38,1.5k
Intelenet Global Services,3.7,3.1k,11.6k,30,--,1.7k
Future Group,4.2,3.1k,15.4k,63,16,1.5k
SBI Cards & Payment Services,3.7,3.1k,22.3k,148,50,1.2k
BNY Mellon,4.1,3.1k,27.9k,160,676,1.5k
Cummins,4.4,3.1k,15.3k,157,13,1.4k
Bosch Global Software Technologies,4.2,3.1k,32.4k,178,22,1.5k
SMFG India Credit,4.1,3k,13.7k,81,46,1.2k
Wipro BPS,3.8,3k,14.7k,158,--,1.8k
IQVIA,4.1,3k,24.9k,242,41,1.4k
Coforge,3.6,3k,30.7k,220,179,1.2k
Amdocs,4.0,3k,33.8k,293,3,1.3k
UST,3.9,3k,34.6k,218,128,1.1k
Nagarro,4.4,3k,20.2k,374,62,1.6k
ICICI Lombard General Insurance Company,3.8,3k,19.9k,138,67,1.2k
Schneider Electric,4.1,3k,21k,169,235,1.3k
Samsung,4.1,3k,19.8k,278,143,1.3k
GlobalLogic,3.8,3k,31.6k,253,148,1.3k
CBRE,4.2,3k,16.3k,124,107,1.1k
Virtusa Consulting Services,3.8,3k,46.6k,253,107,966
JBM Group,4.0,2.9k,14.7k,156,1,1.1k
Dell,4.1,2.9k,26k,210,104,1.3k
Ecom Express,4.1,2.9k,11.2k,119,49,1k
State Bank of India,3.8,2.8k,13.7k,136,184,1.1k
Bajaj Auto,3.9,2.8k,13.9k,158,2,1.3k
Cholamandalam Investment & Finance,4.1,2.8k,13.2k,90,17,1k
Equitas Small Finance Bank,4.1,2.8k,15.4k,94,17,1.1k
Swiggy,4.0,2.8k,21.4k,200,318,1.1k
Viatris,4.3,2.8k,15.4k,86,1,1.4k
Samvardhana Motherson Group,3.8,2.8k,15.3k,144,59,1.3k
Nagarjuna Construction Company,4.1,2.7k,13.2k,168,4,1.1k
KEC International,4.1,2.7k,12.1k,166,4,1.1k
SBI Life Insurance Company,3.8,2.7k,17.2k,122,1,992
Ekart Logistics,4.1,2.7k,10.2k,171,1,1.1k
L&T Technology Services,3.4,2.7k,30.8k,208,2,927
Muthoot Fincorp,4.0,2.7k,12.2k,79,46,1.1k
Aditya Birla Fashion and Retail,4.2,2.7k,13.8k,90,59,1.2k
Optum,4.1,2.7k,21.9k,220,28,1.3k
Godrej & Boyce Manufacturing,3.9,2.7k,19.2k,107,54,1.1k
Royal Enfield,4.2,2.7k,16.2k,87,13,1.3k
Tata Communications,4.2,2.7k,23.2k,146,495,1.2k
LG Electronics,4.0,2.7k,12.3k,125,6,1.2k
Piramal Capital Housing Finance,4.3,2.7k,13.1k,114,21,870
John Deere,4.3,2.6k,14.3k,126,--,1.3k
L&T Finance,3.9,2.6k,13.9k,72,--,943
Whitehat jr,3.6,2.6k,11.5k,277,514,1.5k
Intas Pharmaceuticals,4.2,2.6k,15.2k,118,53,1.1k
Thermax Limited,4.2,2.5k,13k,127,33,995
Varun Beverages,4.0,2.5k,12.5k,117,49,884
Ford Motor,4.5,2.5k,14.5k,68,96,1.2k
UnitedHealth,4.2,2.5k,25k,62,10,1.5k
Sodexo,4.1,2.5k,10.5k,91,116,1.1k
Hetero Drugs,3.8,2.5k,14.5k,127,30,995
Deutsche Bank,4.1,2.5k,30.7k,185,444,1.3k
Macleods Pharmaceuticals,3.8,2.5k,14.5k,98,17,1k
Abbott Healthcare,4.2,2.5k,13.1k,90,175,1k
Subros,4.0,2.5k,13.5k,90,--,1.2k
Randstad,3.9,2.5k,13.9k,148,2.3k,830
VE Commercial Vehicles,4.0,2.4k,13.8k,112,23,998
Automatic Data Processing (ADP),4.2,2.4k,20.5k,118,64,1.2k
American Express,4.3,2.4k,20.5k,195,117,1.2k
CARS24,3.6,2.4k,13.5k,196,301,938
Havells,4.1,2.4k,14.9k,95,88,876
Pidilite Industries,4.3,2.4k,10.9k,109,30,970
Wipro Consumer Care & Lighting,3.8,2.3k,3k,36,34,1.1k
Alkem Laboratories,4.0,2.3k,10k,102,18,1k
Indian Air Force,4.6,2.3k,6.6k,27,--,1.3k
Hindustan Coca Cola Beverages,4.3,2.3k,8.5k,67,42,1.1k
